id,date_time,walked,missed_reason,sky,temp,rh,conditions,shoes,route,miles,start_steps,end_steps,steps,hours,elasped,rest,mph,laps,mpl,pace,gain,kcal,avg_hr,max_hr,pace.01,pace.02,pace.03,pace.04,pace.05,pace.06,pace.07,pace.08,pace.09,breaks,shuffles,device,app,gps_failure,failure_reason
518,2/21/20 0:00,1,,Cloudy,54,98,,Skechers,Parks Mall,5.19,,,,1.55,,,3.35,3,1.73,16.77,220,667,101,150,16.20,16.93,16.90,17.15,16.67,,,,,1,1,Garman vivoactive 3,Connect,0,
537,2/22/20 0:00,1,,Fair,77,42,,Skechers,Vandergriff Park,5.62,,,,1.53,,,3.93,2,2.81,16.35,125,943,124,140,15.62,16.30,16.08,15.83,16.5,16.22,,,,1,0,Garman vivoactive 3,Connect,0,
538,2/23/20 0:00,1,,Fair,74,64,,Skechers,Four Parks,4.91,,,,1.25,,,3.93,2,2.46,17.28,269,648,96,146,17.03,16.62,17.78,16.75,17.14,,,,,1,0,Garman vivoactive 3,Connect,0,
539,2/24/20 0:00,1,,Rain,50,60,,Skechers,Parks Mall,5.47,,,12521,1.58,,,3.45,4,1.37,17.4,54,1095,126,147,19.12,20.33,21.63,20.35,20,,,,,,1,Garman vivoactive 3,Connect,0,failure_reason
540,2/25/20 0:00,1,,Fair,62,80,,Skechers,Village Creek Linear Park,5.49,,,,1.45,,,3.79,1,5.49,15.75,30,965,132,159,15.62,15.83,15.55,15.45,16.18,15.79,,,,0,0,Garman vivoactive 3,Connect,0,
541,2/26/20 0:00,1,,Fair,44,45,,Skechers,Parks Mall,2.86,,,8926,1.32,,,2.17,2,1.43,27.57,54,649,110,146,16.77,24.68,37.27,,,,,,,0,0,Garman vivoactive 3,Connect,0,
542,2/27/20 0:00,1,,Fair,54,29,,RBX,Cory Triangle,4.61,,,9972,1.22,,,3.79,1,3.79,15.87,174,630,106,148,15.43,15.85,16.17,16.08,15.79,,,,,0,0,Garman vivoactive 3,Connect,0,
543,2/28/20 0:00,1,,Fair,52,45,,RBX,Cravens Park,4.24,,,10059,1.13,,,3.74,1,4.24,15.93,33,387,92,133,15.32,15.98,16.37,15.94,15.79,,,,,0,0,Garman vivoactive 3,Connect,0,
543,2/29/20 0:00,0,Lost data,Fair,74,25,,Skechers,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Garman vivoactive 3,Connect,1,Lost walk data
544,3/1/20 0:00,0,Day off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,3/2/20 0:00,0,Lost data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,3/3/20 0:00,0,Doctor visit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,3/4/20 0:00,1,,Light Rain,49,72,,Skechers,Parks Mall,5.05,,,11922,1.53,,,3.29,3,1.68,18.32,54,415,84,107,18.40,18.26,18.83,17.86,17.98,23.08,,,,1,0,Garman vivoactive 3,Connect,0,
548,3/5/20 0:00,1,,Fair,62,46,,RBX,Enchanted Lakes,4.48,,,9496,1.20,,,3.73,1,4.48,15.98,105,515,78,143,15.36,15.70,16.08,16.41,15.79,,,,,1,0,Garman vivoactive 3,Connect,0,
549,3/6/20 0:00,1,,Fair,64,19,,RBX,Vandergriff Park,5.80,,,11898,1.48,,,3.91,2,2.90,15.35,148,697,93,146,14.64,15.26,16.03,14.85,15.54,15.79,,,,1,0,Garman vivoactive 3,Connect,0,
550,3/7/20 0:00,1,,Fair,61,34,,RBX,Little Road,4.47,,,9834,1.18,,,3.78,1,,15.87,226,497,80,107,15.86,16.05,15.97,15.52,15.79,,,,,0,0,Garman vivoactive 3,Connect,0,
551,3/8/20 0:00,0,Day off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,3/9/20 0:00,1,,Cloudy,59,87,,Skechers,Parks Mall,3.83,,,,1.12,,,3.43,2,1.92,17.55,54,290,,,,,,,,,,,,1,0,Garman vivoactive 3,Connect,0,
553,3/10/20 0:00,1,,Fair,54,61,,RBX,Perkins Road,4.56,,,9356,1.27,,,3.58,1,4.56,16.77,220,667,101,150,16.20,16.93,16.90,17.15,16.67,,,,,0,0,Garman vivoactive 3,Connect,0,
554,3/11/20 0:00,1,,Fair,81,64,,RBX,Veterans Park,3.93,,,9359,1.12,,,3.52,1,3.93,17.10,194,910,135,159,17.38,17.11,16.54,17.14,,,,,,,,,,,
555,3/12/20 0:00,1,,Fair,64,53,,RBX,Fish Creek Linear Park,5.76,,,,1.58,,,3.65,1,5.76,16.45,272,1270,138,162,15.32,15.59,15.39,16.33,18.28,18.18,,,,2,0,Garman vivoactive 3,Connect,0,
556,3/13/20 0:00,0,Day off,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,3/14/20 12:48,1,,Light Rain,60,86,,Skechers,Parks Mall,3.18,,,,1.06,,,2.99,2,1.59,20.05,36,351,90,118,19.68,19.49,21.13,18.75,,,,,,1,0,,,,
558,3/14/20 12:53,0,Day off,Cloudy,57,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,3/15/20 14:38,1,,Cloudy,70,70,,RBX,Stoval Park,4.97,,,12897,1.28,,,3.87,3,1.66,15.52,118,591,86,148,15.52,15.65,15.31,15.35,15.33,,,,,1,1,Garman vivoactive 3,Connect,0,
560,3/16/20 12:02,1,,Cloudy,67,84,,RBX,Vandergriff Park,6.13,,,12444,1.60,,,3.83,2,3.07,15.60,167,686,86,135,15.28,15.47,15.91,16.27,15.34,15.79,,,,1,1,Garman vivoactive 3,Connect,0,
561,3/17/20 12:43,1,,Mostly Cloudy,79,66,,RBX,Four Parks,4.56,,,9920,1.29,,,3.53,1,4.56,17.02,325,995,133,156,16.22,16.35,16.62,17.89,18.75,,,,,1,0,Garman vivoactive 3,Connect,0,
562,3/18/20 13:00,0,Lost data,Partly Cloudy,66,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Operztor error
563,3/19/20 12:55,0,,Mostly Cloudy,51,68,,Skechers,Enchanted Lakes,4.53,,,9714,1.20,,,3.78,1,4.53,16.02,85,595,110,136,15.65,15.99,15.97,16.24,16.22,,,,,0,0,Garman vivoactive 3,Connect,0,
564,3/20/20 14:51,1,,Fair,58,60,,Skechers,Little Road,5.29,,,11153,1.43,,,3.69,1,5.29,16.22,243,617,99,130,15.92,16.73,16.31,15.83,16.22,,,,,0,1,Garman vivoactive 3,Connect,0,
565,3/21/20 15:04,1,,Cloudy,62,80,,Skechers,Perkins Road,5.13,,,10892,1.37,,,3.75,1,5.13,16.08,217,673,104,143,15.94,15.93,16.11,16.48,16.22,,,,,0,1,Garman vivoactive 3,Connect,0,
566,3/22/20 15:04,1,,Cloudy,68,81,,Skechers,Stoval Park,4.76,,,9868,1.25,,,3.81,1,4.76,15.77,95,513,80,111,15.33,15.63,15.91,15.62,15.79,,,,,0,0,Garman vivoactive 3,Connect,0,
567,4/23/20 14:09,1,,Fair,86,20,,RBX,Vandergriff Park,4.75,,,,1.25,,,3.80,2,2.38,15.88,125,706,106,150,15.09,15.80,16.21,15.62,16.67,,,,,2,0,Garman vivoactive 3,Connect,0,
568,3/24/20 14:35,1,,Fair,87,40,,RBX,Four Parks,4.61,,,,1.29,,,3.58,1,4.61,16.80,256,980,131,159,15.63,16.30,15.94,17.89,19.35,,,,,5,0,Garman vivoactive 3,Connect,0,
569,3/25/20 11:37,1,,Fair,82,50,,RBX,Village Creek Linear Park,4.87,,,11631,1.42,,,3.44,1,4.87,17.45,249,777,109,150,16.89,16.45,17.43,17.02,20.00,,,,,5,0,Garman vivoactive 3,Connect,0,
570,3/26/20 15:02,1,,Mostly Cloudy,83,56,,Skechers,Enchanted Lakes,4.41,,,9542,1.25,,,3.53,1,4.41,16.98,190,473,71,111,16.13,16.48,16.83,18.01,18.18,,,,,3,0,Garman vivoactive 3,Connect,0,
571,3/27/20 13:46,1,,Fair,74,19,,RBX,River Legacy North East,6.55,,,11504,1.77,,,3.71,1,6.55,16.22,69,1364,133,156,15.29,16.52,49.00,16.56,18.52,16.06,16.22,,,3,0,Garman vivoactive 3,Connect,0,
572,3/28/20 11:53,0,Day off,Fair,64,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,3/29/20 12:00,0,Rain,T-Storm / Windy,52,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,3/30/20 15:36,1,,Cloudy,48,55,,Skechers,Vandergriff Park,6.48,,,13160,1.68,,,3.85,1,6.48,16.22,180,1124,126,152,15.75,15.35,15.63,15.93,15.32,15.49,15.38,,,1,0,Garman vivoactive 3,Connect,0,
575,3/31/20 14:22,1,,Fair,72,50,,RBX,Fish Creek Linear Park,6.14,,,12629,1.57,,,3.92,1,6.14,15.25,72,668,84,107,15.56,15.11,15.29,15.17,15.37,15.37,15.00,,,1,0,Garman vivoactive 3,Connect,0,
576,4/1/20 14:16,1,,Cloudy,69,73,,RBX,Enchanted Lakes,4.50,,,,1.20,,,3.75,1,4.50,15.98,102,570,101,136,15.87,15.99,16.51,16.47,16.22,,,,,0,0,Garman vivoactive 3,Connect,0,
577,4/2/20 16:27,0,Forecast rain,Cloudy,47,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,4/3/20 11:53,0,Forecast rain,Cloudy,39,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,4/4/20 11:53,0,Forecast rain,Cloudy,53,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,4/5/20 12:34,1,,Fair,71,70,,RBX,Little Road,5.12,,,,1.38,,,3.70,1,5.12,16.13,203,842,120,151,15.82,16.77,16.08,16.09,16.15,13.95,,,,0,0,Garman vivoactive 3,Connect,0,
581,4/6/20 14:56,1,,Fair,86,43,,Skechers,Perkins Road,4.78,,,10730,1.38,,,3.46,1,4.78,17.03,190,1000,134,164,15.98,15.99,17.64,17.64,17.14,,,,,5,1,Garman vivoactive 3,Connect,0,
582,4/7/20 11:41,1,,Fair,85,55,,RBX,Rosie,3.52,,,,1.30,,,1.38,2,1.00,22.10,59,688,115,142,20.39,24.82,21.32,22.22,,,,,,0,0,Garman vivoactive 3,Connect,0,
583,4/8/20 13:14,1,,Fair,88,49,,Skechers,River Legacy West,4.80,,,10730,1.23,,,3.89,1,4.80,15.40,43,555,107,133,15.27,15.60,15.55,15.26,15.38,,,,,0,1,Garman vivoactive 3,Connect,0,
584,4/9/20 13:43,1,,Fair,77,71,,RBX,Enchanted Lakes,4.48,,,9409,1.18,,,3.79,1,4.48,15.77,98,628,111,144,15.70,15.58,15.41,16.39,15.79,,,,,1,1,Garman vivoactive 3,Connect,0,
585,4/10/20 11:53,0,Day off,Cloudy,66,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,4/11/20 11:53,0,Easter,Mostly Cloudy,78,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,4/12/20 13:46,1,,Fair,54,45,,Skechers,Three Parks,4.48,,,9655,1.23,,,3.63,1,4.48,16.33,223,850,132,150,15.87,15.89,16.49,16.84,16.22,,,,,0,0,Garman vivoactive 3,Connect,0,
588,4/13/20 13:14,1,,Mostly Cloudy,55,51,,RBX,Vandergriff Park,3.48,,,7199,0.88,,,3.97,1,3.48,15.12,92,572,134,149,14.38,15.07,15.45,16.22,,,,,,0,0,Garman vivoactive 3,Connect,0,
589,4/14/20 13:27,1,,Fair,63,71,,RBX,Village Creek Linear Park,5.74,,,12068,1.52,,,3.78,1,5.74,15.88,66,648,92,135,15.81,15.81,15.45,62.00,15.82,15.79,,,,3,0,Garman vivoactive 3,Connect,0,
590,4/15/20 15:14,1,,Fair,70,40,,RBX,Cory Triangle,4.47,,,9272,1.13,,,3.94,1,4.47,15.92,177,632,100,152,15.92,16.24,15.80,15.69,15.79,,,,,3,1,Garman vivoactive 3,Connect,0,
591,4/16/20 13:26,1,,Cloudy,53,35,,Skechers,Rosie,2.56,,,,0.76,,,3.36,1,2.56,17.90,26,427,116,140,18.59,17.15,18.75,,,,,,,0,0,Garman vivoactive 3,Connect,0,
592,4/17/20 13:08,1,,Fair,63,48,,RBX,River Legacy North East,5.92,794,14362,13568,1.58,,,3.74,1,5.92,16.08,62,1308,142,158,15.10,15.02,15.19,17.04,17.09,17.14,,,,3,0,Garman vivoactive 3,Connect,0,
593,4/18/20 13:08,1,,Mostly Cloudy,78,61,,Skechers,Stoval Park,4.84,800,11138,10338,1.30,,,3.72,1,4.84,16.15,138,871,127,144,15.43,15.69,15.84,16.69,14.60,,,,,2,0,Garman vivoactive 3,Connect,0,
594,4/19/20 13:30,1,,Mostly Cloudy,79,61,,RBX,Vandergriff Park,4.46,934,10304,9370,1.18,,,3.77,1,4.46,15.92,125,839,132,145,14.94,16.31,16.06,16.00,16.22,,,,,0,0,Garman vivoactive 3,Connect,0,
595,4/20/20 14:42,1,Lost data,Fair,83,64,,RBX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Operator error
595,4/21/20 12:10,1,,Fair,64,62,Bad,Skechers,Four Parks,4.61,843,11299,10456,1.30,,,3.55,1,4.61,17.02,118,506,73,103,15.50,16.30,17.02,17.77,19.35,,,,,5,0,Garman vivoactive 3,Connect,0,
596,4/22/20 10:30,0,Rain,Cloudy,69,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,4/23/20 11:33,1,,Fair,76,43,Good,Skechers,River Legacy North East,6.01,843,13876,13033,1.55,,,3.88,1,6.01,15.47,49,802,94,156,15.50,15.57,15.60,15.68,15.30,15.13,15.38,,,1,1,Garman vivoactive 3,Connect,0,
598,4/24/20 11:23,1,,Fair,81,37,Good,RBX,Three Parks,5.36,843,,,1.47,,,3.65,1,5.36,16.35,184,802,104,156,16.40,15.72,16.16,15.86,17.29,16.22,,,,0,0,Garman vivoactive 3,Connect,0,
599,4/25/20 12:24,1,,Fair,76,37,Good,Skechers,Fish Creek Linear Park,7.82,749,17135,16386,2.00,,,3.91,1,7.82,15.38,92,1585,135,156,15.40,14.70,14.66,15.10,15.80,15.11,15.99,15.38,,4,0,Garman vivoactive 3,Connect,0,
600,4/26/20 12:26,1,,Fair,81,23,Good,RBX,Village Creek Linear Park,7.11,1025,16621,15596,1.93,,,3.68,1,7.11,16.25,62,1131,112,147,15.49,15.77,16.14,16.33,16.37,17.15,16.55,15.79,,3,1,Garman vivoactive 3,Connect,0,
601,4/27/20 13:04,1,,Fair,83,37,Good,,Perkins Road,5.41,854,12500,11646,1.53,,,3.53,1,5.41,16.98,243,1092,126,149,15.86,16.39,16.52,17.81,17.81,17.14,,,,3,2,Garman vivoactive 3,Connect,0,
602,4/28/20 11:34,1,,Partly Cloudy,84,61,Good,RBX,Little Road,5.18,918,12208,11290,1.50,,,3.45,1,5.18,17.33,200,1154,133,153,16.08,16.82,16.93,17.00,19.58,17.14,,,,5,1,Garman vivoactive 3,Connect,0,
603,4/29/20 11:03,1,,Fair,75,77,Good,Skechers,Enchanted Lakes,5.24,872,12034,11162,1.42,,,3.70,1,5.24,16.15,112,663,93,134,15.90,15.77,15.85,16.45,16.85,15.79,,,,0,0,Garman vivoactive 3,Connect,0,
604,4/30/20 11:51,1,,Fair,77,32,Good,RBX,Four Parks,5.64,1124,13003,11879,1.53,,,3.68,1,5.64,16.32,220,1024,122,147,16.40,15.50,16.08,16.70,16.28,17.14,,,,0,1,Garman vivoactive 3,Connect,0,
605,5/1/20 8:46,1,,Fair,71,53,Good,RBX,River Legacy North East,6.00,867,13450,12583,1.55,,,3.87,1,6.00,15.50,46,602,76,119,15.60,15.29,15.80,15.20,15.97,15.97,,,,1,0,Garman vivoactive 3,Connect,0,
606,5/2/20 8:55,1,,Partly Cloudy,72,71,Good,Skechers,Village Creek Linear Park,6.52,894,14258,13364,1.67,,,3.91,1,6.52,15.67,89,708,80,117,15.39,15.12,14.98,15.35,15.24,15.57,15.38,,,0,0,Garman vivoactive 3,Connect,0,
607,5/3/20 11:55,1,,Fair,84,55,Good,Skechers,Skechers,5.38,1074,12286,11212,1.45,,,3.71,4,1.35,16.23,112,1081,125,143,15.42,16.27,16.30,16.03,16.22,,,,,0,0,Garman vivoactive 3,Connect,0,
608,5/4/20 9:26,1,,Fair,55,60,Good,RBX,Fish Creek Linear Park,7.91,444,,,2.20,,,3.60,1,7.91,16.63,76,847,72,117,16.39,16.90,16.61,16.43,16.24,16.23,17.05,17.14,,1,1,Garman vivoactive 3,Connect,0,
609,5/5/20 12:08,1,,Mostly Cloudy,76,53,Good,Skechers,Vandergriff Park,4.61,1419,11400,9981,1.58,,,2.91,1,4.61,16.30,164,526,87,139,15.97,16.35,16.83,15.98,16.22,,,,,0,0,Garman vivoactive 3,Connect,0,
610,5/6/20 9:57,1,,Fair,77,31,Good,RBX,River Legacy West,6.65,1581,15491,13910,1.77,,,3.76,1,6.65,15.90,26,708,72,115,15.28,16.30,16.13,16.11,16.23,15.38,15.79,,,0,0,Garman vivoactive 3,Connect,0,
611,5/7/20 11:14,1,,Mostly Cloudy,81,38,Good,Skechers,Four Parks,5.65,774,12767,11993,1.52,,,3.73,1,5.65,16.08,253,1265,131,152,15.61,16.54,15.92,17.06,15.63,16.22,,,,0,0,Garman vivoactive 3,Connect,0,
612,5/8/20 13:38,1,,Cloudy,68,56,Good,Skechers,Enchanted Lakes,5.58,1020,,,1.53,,,3.64,1,5.58,16.53,144,630,85,117,16.29,16.70,16.36,16.77,16.83,8.00,,,,0,0,Garman vivoactive 3,Connect,0,
613,5/9/20 15:57,1,,Fair,70,,Good,RBX,South Rush Creek Linear Park,4.58,,,,1.23,,,3.71,1,4.58,19.02,7,810,118,136,16.03,16.43,16.16,16.22,,,,,,,,,,,
614,5/10/20 14:24,1,,Fair,75,36,Good,RBX,Fish Creek Linear Park,8.90,1203,19953,18750,2.40,,,3.71,1,8.90,16.20,108,973,84,112,16.34,15.64,15.49,15.90,16.91,15.83,15.97,16.45,17.65,3,,Garman vivoactive 3,Connect,0,
615,5/11/20 9:10,1,,Fair,64,56,Good,Skechers,Vandergriff Park,3.37,1529,14380,12851,0.90,,,3.74,1,4.16,16.00,103,516,108,134,16.26,15.60,15.88,16.67,,,,,,0,0,Garman vivoactive 3,Connect,0,
616,5/12/20 23:53,0,Forecast rain,Light Rain,70,100,Bad,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
617,5/13/20 11:53,1,,Cloudy,73,76,Bad,Skechers,Four Parks,5.64,313,12562,12249,1.57,,,3.60,1,5.64,16.65,217,624,78,109,16.19,16.10,16.45,18.10,16.69,16.22,,,,5,0,Garman vivoactive 3,Connect,0,
618,5/14/20 12:02,1,,Mostly Cloudy / Windy,85,55,Good,RBX,River Legacy North East,6.01,1116,14151,13035,1.58,1.85,0.27,3.80,1,6.01,15.72,92,1206,133,169,15.14,15.14,15.45,16.30,16.13,16.09,15.79,,,6,0,,,,
619,5/15/20 11:38,1,,Cloudy,81,62,Bad,Skechers,Fish Creek Linear Park,7.53,1129,17488,16539,2.00,2.37,0.37,3.77,1,7.53,15.92,371,983,107,139,15.40,15.31,15.20,16.08,71.60,16.33,16.71,15.79,,7,0,Garman vivoactive 3,Connect,0,
